product_id,category,revenue,order_count,avg_price,cumulative_revenue,revenue_share_pct,product_rank,product_rank_pct,abc_class
4f3b83b83f7fb280fca4f90ba502f50e,garden_tools,99.5,1,99.5,12560473.230002088,95.00037836485453,19410,60.24956543332506,C
979c36deada6af57d4f1d9b85a60978c,books_general_interest,99.5,1,99.5,12560572.730002088,95.00113092707684,19411,60.25266948100323,C
a7d2c99f1d0e7ddfbce06d48f12b61a2,housewares,99.5,3,19.9,12560672.230002088,95.00188348929915,19412,60.2557735286814,C
5cbd407f3315b628a89206fbc140f6c8,market_place,99.5,4,19.9,12560771.730002088,95.00263605152146,19413,60.25887757635957,C
50f5f13adab483598dfb6a40afaf70b6,computers_accessories,99.5,4,19.9,12560871.230002088,95.00338861374378,19414,60.261981624037745,C
2748fba16a62f912134f7991548c3cee,luggage_accessories,99.5,1,99.5,12560970.730002088,95.0041411759661,19415,60.26508567171591,C
49b9c5584a546562e3b954561980b48e,stationery,99.5,1,99.5,12561070.230002088,95.00489373818841,19416,60.268189719394094,C
a0736b92e52f6cead290e30b578413b6,furniture_decor,99.4,2,49.7,12561169.630002089,95.00564554406678,19417,60.271293767072265,C
2098d8789ee89ca57f6c50977b4ab962,watches_gifts,99.35,1,99.35,12561268.980002088,95.00639697177319,19418,60.27439781475044,C
575617410387f4e614f39628fe8e81bd,sports_leisure,99.30000000000001,2,33.1,12561368.28000209,95.00714802130761,19419,60.27750186242861,C
a41e356c76fab66334f36de622ecbd3a,Unknown,99.3,1,99.3,12561467.58000209,95.00789907084206,19420,60.28060591010678,C
735ddb7e24835030772ab80675939cf9,pet_shop,99.2,1,99.2,12561566.78000209,95.00864936403255,19421,60.28370995778495,C
b20dff2518b593f3092fb7b3ba13588e,Unknown,99.07,2,49.535,12561665.85000209,95.00939867397591,19422,60.28681400546312,C
84de44e3c2ce8920c251f5d48aac6132,furniture_decor,99.0,1,99.0,12561764.85000209,95.01014745447851,19423,60.2899180531413,C
8bb0e27f7d87b511b5c4ed35e514e34a,bed_bath_table,99.0,1,99.0,12561863.85000209,95.01089623498112,19424,60.29302210081947,C
